# generated by run.sh -- do not hand-edit
# date: 2026-09-06T03:47:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/bulkinsert
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBulk/naive/n=1000/k=1-23         	   50022	      2486 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   48894	      2397 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   47834	      2462 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   48280	      2457 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   51205	      2406 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   51961	      2353 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   49219	      2399 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   49419	      2479 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   50413	      2436 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=1-23         	   50041	      2278 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   48529	      2441 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   48576	      2553 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   44811	      2582 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   47031	      2522 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   46479	      2598 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   45518	      2585 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   48110	      2548 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   47704	      2552 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   45109	      2520 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1-23          	   45920	      2499 ns/op	   24600 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   47697	      2530 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   47500	      2551 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   46588	      2580 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   48622	      2500 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   45490	      2550 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   46458	      2535 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   47311	      2497 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   48997	      2492 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   48091	      2555 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=4-23         	   51910	      2441 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   47073	      2542 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   45818	      2647 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   45138	      2596 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   46537	      2601 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   44164	      2688 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   44178	      2645 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   45408	      2703 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   44131	      2733 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   46500	      2643 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=4-23          	   46591	      2597 ns/op	   24672 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   24225	      4883 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   24501	      4915 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   24297	      4854 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   24621	      4960 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   25131	      4868 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   25098	      4702 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   24782	      4850 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   24994	      4871 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   25593	      4771 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/naive/n=1000/k=16-23        	   24696	      4876 ns/op	   24576 B/op	       1 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   37434	      3270 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   35160	      3325 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   38455	      3207 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   36992	      3125 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   41187	      3142 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   37268	      3340 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   36973	      3230 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   36380	      3308 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   37879	      3224 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=16-23         	   36799	      3323 ns/op	   24960 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    7917	     15199 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    9302	     14525 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    8886	     14591 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    8196	     14282 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    8959	     15067 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    9631	     14856 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    9657	     14353 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    8721	     14377 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    9170	     14823 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=64-23        	    8844	     14593 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   24644	      4777 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   25882	      4731 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   25077	      4777 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   25063	      4521 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   26202	      4653 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   25906	      4628 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   25347	      4722 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   25525	      4698 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   25514	      4645 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=64-23         	   26272	      4645 ns/op	   29056 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2200	     55275 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2046	     55533 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2287	     55466 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2251	     56893 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2316	     55800 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2143	     55922 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2168	     56079 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2019	     56617 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2145	     55931 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=256-23       	    2119	     55047 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9454	     12732 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9200	     12765 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9712	     12759 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9489	     12938 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9241	     12739 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9290	     12806 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9070	     12673 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    8338	     12741 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9212	     12835 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=256-23        	    9562	     12760 ns/op	   39296 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     628	    182773 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     670	    181781 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     638	    181851 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     638	    183565 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     655	    184858 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     651	    182580 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     667	    183833 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     651	    181413 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     642	    185052 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/naive/n=1000/k=1024-23      	     634	    184824 ns/op	   65536 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    1873	     60298 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    2054	     59679 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    1992	     59912 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    2005	     60941 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    1999	     59865 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    1964	     58972 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    1923	     59527 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    2034	     59819 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    1990	     59050 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=1000/k=1024-23       	    1968	     59288 ns/op	   76416 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    4359	     25895 ns/op	  245762 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    4593	     45643 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2562	     48481 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2578	     49064 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2632	     50295 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2274	     51712 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2172	     49794 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2436	     50360 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2138	     50155 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=1-23        	    2796	     50542 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2822	     43998 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2577	     43975 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2538	     44954 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2809	     45378 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2708	     43765 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2854	     44687 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2724	     44974 ns/op	  245785 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2804	     44756 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2757	     42405 ns/op	  245784 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=1-23         	    2895	     44389 ns/op	  245784 B/op	       2 allocs/op
