# generated by run.sh -- do not hand-edit
# date: 2026-09-06T05:18:34Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/dispatch
cpu: QEMU Virtual CPU version 2.5+
BenchmarkDelete/raw-builtin-23         	51497227	         4.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	50975164	         4.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	50371806	         4.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	51826014	         4.632 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	50878706	         4.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	49498946	         4.819 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	48140115	         4.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	47953743	         5.012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	49850924	         4.650 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/raw-builtin-23         	51748204	         4.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/direct/quiet-23        	50553156	         4.780 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/direct/quiet-23        	48759596	         4.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/direct/quiet-23        	51947500	         4.664 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/direct/quiet-23        	49433563	         4.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/direct/quiet-23        	49949976	         4.831 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/direct/quiet-23        	51418419	         4.693 ns/op	       0 B/op	       0 allocs/op
