# generated by run.sh -- do not hand-edit
# date: 2026-09-06T06:44:48Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/hashdict
cpu: QEMU Virtual CPU version 2.5+
BenchmarkOps/Get/raw-23         	36885226	         3.273 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	36002476	         3.276 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	36579499	         3.279 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	33459530	         3.382 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	35165412	         3.345 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	34808538	         3.341 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	35771828	         3.340 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	37013343	         3.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	36632306	         3.262 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/raw-23         	34104627	         3.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	31928089	         3.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	35374897	         3.374 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	35495774	         3.368 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	31254085	         3.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	35074888	         3.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	34887320	         3.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	34326405	         3.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	33329185	         3.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	31239578	         3.573 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/Map-23         	34655047	         3.453 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	31727481	         3.774 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	32694874	         3.694 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	29870629	         3.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	31020880	         3.734 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	31518332	         3.702 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	32781493	         3.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	32232771	         3.686 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	32165424	         3.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	32032090	         3.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Get/HashDict-23    	32084952	         3.677 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	24036394	         4.925 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	25096878	         4.817 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	24332355	         4.825 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	24679358	         4.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	24944673	         4.800 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	23561343	         4.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	24018849	         4.917 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	23665809	         4.936 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	24423105	         4.915 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/raw-23         	25171558	         4.780 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	24321140	         4.832 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	23946006	         4.850 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	24877272	         4.845 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	22915334	         4.975 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	24055509	         4.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	24489570	         4.798 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	23705342	         4.966 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	24989899	         4.828 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	24811201	         4.849 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/Map-23         	23173095	         4.972 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	21987630	         5.447 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	22752528	         5.274 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	22738792	         5.283 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	21512889	         5.426 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	22104694	         5.425 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	21808153	         5.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	21914613	         5.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	21794698	         5.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	22800259	         5.313 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Set/HashDict-23    	21761596	         5.458 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	25377800	         4.787 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	24307666	         4.807 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	24887187	         4.650 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	25961145	         4.632 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	24038080	         4.857 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	26102764	         4.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	24003211	         4.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	25081576	         4.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	25792639	         4.672 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/raw-23      	24961413	         4.716 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	25470681	         4.764 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	24865801	         4.761 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	23854107	         4.804 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	25480054	         4.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	23999265	         4.832 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	25037696	         4.746 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	23896275	         4.834 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	24605077	         4.822 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	24968024	         4.630 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/Map-23      	24838425	         4.768 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	24861464	         4.832 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	24785271	         4.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	24419367	         4.820 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	25187970	         4.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	24613728	         4.933 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	24497734	         4.830 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	24429330	         4.896 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	23765876	         4.858 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	24846355	         4.811 ns/op	       0 B/op	       0 allocs/op
BenchmarkOps/Delete/HashDict-23 	25377860	         4.797 ns/op	       0 B/op	       0 allocs/op
BenchmarkPresize/unsized/16-23  	  194566	       533.4 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  223191	       531.1 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  242521	       516.4 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  227690	       527.6 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  222421	       531.9 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  230050	       531.5 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  236506	       519.1 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  226579	       532.5 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  220189	       527.7 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/unsized/16-23  	  222910	       527.0 ns/op	    1128 B/op	       7 allocs/op
BenchmarkPresize/sized/16-23    	  592249	       217.6 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  562688	       216.1 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  583902	       216.4 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  528673	       216.5 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  565230	       219.6 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  548402	       217.1 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  612091	       220.7 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  571527	       218.3 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  583904	       219.8 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/sized/16-23    	  580297	       219.1 ns/op	     664 B/op	       4 allocs/op
BenchmarkPresize/unsized/256-23 	   14454	      8333 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14389	      8334 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14373	      8253 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14448	      8372 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14187	      8396 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14452	      8329 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14133	      8451 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14240	      8389 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14588	      8219 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/unsized/256-23 	   14162	      8400 ns/op	   19048 B/op	      15 allocs/op
BenchmarkPresize/sized/256-23   	   58198	      2038 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   56994	      2065 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   57265	      2072 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   57450	      2046 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   58858	      2051 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   58082	      2061 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   56626	      2053 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   59961	      2054 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   59614	      2064 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/sized/256-23   	   59233	      2037 ns/op	    9560 B/op	       4 allocs/op
BenchmarkPresize/unsized/4096-23         	     871	    136060 ns/op	  296122 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     871	    136442 ns/op	  296121 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     879	    134084 ns/op	  296121 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     874	    136880 ns/op	  296121 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     870	    135323 ns/op	  296122 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     880	    135768 ns/op	  296121 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     879	    136385 ns/op	  296121 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     884	    134755 ns/op	  296122 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     903	    134589 ns/op	  296122 B/op	      48 allocs/op
BenchmarkPresize/unsized/4096-23         	     890	    135182 ns/op	  296121 B/op	      48 allocs/op
BenchmarkPresize/sized/4096-23           	    3433	     38018 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3206	     37896 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3412	     37223 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3303	     37503 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3096	     37448 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3488	     37230 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3339	     37502 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3192	     37817 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3232	     38001 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/sized/4096-23           	    3208	     37350 ns/op	  147824 B/op	      18 allocs/op
BenchmarkPresize/unsized/65536-23        	      46	   2373572 ns/op	 4729537 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      44	   2476119 ns/op	 4729538 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      48	   2447143 ns/op	 4729546 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      49	   2514665 ns/op	 4729541 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      45	   2356471 ns/op	 4729555 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      42	   2468158 ns/op	 4729544 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      43	   2473279 ns/op	 4729546 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      44	   2431734 ns/op	 4729550 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      49	   2452190 ns/op	 4729539 B/op	     532 allocs/op
BenchmarkPresize/unsized/65536-23        	      44	   2486025 ns/op	 4729535 B/op	     532 allocs/op
BenchmarkPresize/sized/65536-23          	     135	    848384 ns/op	 2364593 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     133	    887852 ns/op	 2364597 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     135	    875522 ns/op	 2364593 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     147	    839150 ns/op	 2364595 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     136	    869099 ns/op	 2364597 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     147	    802785 ns/op	 2364593 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     141	    870238 ns/op	 2364596 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     133	    877046 ns/op	 2364594 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     130	    902390 ns/op	 2364596 B/op	     258 allocs/op
BenchmarkPresize/sized/65536-23          	     127	    932009 ns/op	 2364599 B/op	     258 allocs/op
BenchmarkNoOp-23                         	467524555	         0.2425 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	522722780	         0.2328 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	477682018	         0.2420 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	470212893	         0.2488 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	495868792	         0.2414 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	475380198	         0.2443 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	496972669	         0.2441 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	484208428	         0.2435 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	501621973	         0.2378 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                         	481770564	         0.2427 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/hashdict	21.411s
