# generated by run.sh -- do not hand-edit
# date: 2026-09-06T15:52:13Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 6  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/list
cpu: QEMU Virtual CPU version 2.5+
BenchmarkRemoveReinsertMiddle/list/64-23         	75306874	         1.590 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/64-23         	67460829	         1.590 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/64-23         	70710730	         1.575 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/64-23         	74026869	         1.579 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/64-23         	78078538	         1.549 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/64-23         	76041627	         1.584 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/64-23        	12151447	         9.678 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/64-23        	12421832	         9.670 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/64-23        	12705546	         9.393 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/64-23        	12212157	         9.683 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/64-23        	12449811	         9.420 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/64-23        	12371253	         9.721 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/1024-23       	73032103	         1.585 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/1024-23       	76423093	         1.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/1024-23       	77365423	         1.550 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/1024-23       	76228566	         1.549 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/1024-23       	72368805	         1.586 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/list/1024-23       	73732039	         1.553 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/1024-23      	  749368	       156.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/1024-23      	  769844	       155.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/1024-23      	  667807	       162.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRemoveReinsertMiddle/slice/1024-23      	  736200	       161.6 ns/op	       0 B/op	       0 allocs/op
