# generated by run.sh -- do not hand-edit
# date: 2026-09-10T22:07:12Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/refcontainers
cpu: QEMU Virtual CPU version 2.5+
BenchmarkNoOp-23                  	871636268	         0.2385 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	1000000000	         0.2325 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	1000000000	         0.2325 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	1000000000	         0.2330 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	662834196	         0.3621 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	794861301	         0.2896 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	1000000000	         0.2255 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	1000000000	         0.2306 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	1000000000	         0.2305 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                  	1000000000	         0.2299 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	55986522	         4.257 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	56158202	         4.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	56238896	         4.247 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	52154547	         4.292 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	54040105	         4.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	56714620	         4.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	55607416	         4.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	54696553	         4.273 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	53314021	         4.334 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ptr-23         	55977759	         4.201 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	55241560	         4.351 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	56250522	         4.313 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	55776907	         4.282 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	55158249	         4.181 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	55197144	         4.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	54418324	         4.181 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	55443193	         4.196 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Has/ref-23         	57491583	         4.191 ns/op	       0 B/op	       0 allocs/op
