# generated by run.sh -- do not hand-edit
# date: 2026-09-08T06:27:59Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 20  benchtime: 300ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/reftypes
cpu: QEMU Virtual CPU version 2.5+
BenchmarkNoOp-23                    	1000000000	         0.2407 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2311 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2310 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2306 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2307 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	991150839	         0.3621 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2315 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2336 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2304 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2309 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2315 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2321 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2332 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2331 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2321 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2309 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2303 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2301 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2315 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                    	1000000000	         0.2322 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Ptr-23                 	121299246	         2.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Ptr-23                 	121424316	         2.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Ptr-23                 	100000000	         3.018 ns/op	       0 B/op	       0 allocs/op
BenchmarkHas/Ptr-23                 	124258570	         2.899 ns/op	       0 B/op	       0 allocs/op
