# generated by run.sh -- do not hand-edit
# date: 2026-09-11T03:49:29Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/reverse
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBaseline/noop-23       	973448936	         0.2328 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	852509103	         0.2806 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	674790487	         0.3592 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	986987925	         0.2408 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	875832783	         0.2360 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	1000000000	         0.2325 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	919018220	         0.2409 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	1000000000	         0.2319 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	1000000000	         0.2262 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/noop-23       	1000000000	         0.2256 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  202131	      1192 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  185229	      1220 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  198686	      1188 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  193308	      1215 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  199572	      1188 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  195585	      1216 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  201050	      1190 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  201948	      1197 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  193030	      1225 ns/op	       0 B/op	       0 allocs/op
BenchmarkBaseline/A/forward-full-23         	  201273	      1189 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  213264	      1129 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  213426	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  211059	      1126 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  213412	      1127 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  201288	      1161 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  214528	      1132 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  203248	      1157 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  212722	      1128 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  205872	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/A/method-pair-23       	  213253	      1126 ns/op	       0 B/op	       0 allocs/op
BenchmarkReverseFull/B/view.Backward-23     	  213351	      1116 ns/op	     136 B/op	       5 allocs/op
BenchmarkReverseFull/B/view.Backward-23     	  210554	      1113 ns/op	     136 B/op	       5 allocs/op
