# generated by run.sh -- do not hand-edit
# date: 2026-09-25T00:37:06Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

# seal check: the impossible assertion still does not compile:
#   # badcastcheck
#   ./bad.go:10:7: impossible type assertion: v.(s.MapSet[string])
#   	sealing.MapSet[string] does not implement sealing.IfaceView[string] (missing method viewOnly)

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sealing
cpu: QEMU Virtual CPU version 2.5+
BenchmarkAll/point-read/StructView-23         	173262061	         1.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/StructView-23         	166894454	         1.436 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/StructView-23         	202805876	         1.345 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/StructView-23         	167299566	         1.433 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/StructView-23         	167090505	         1.436 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/StructView-23         	201560678	         1.345 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/StructView-23         	160463046	         1.497 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/StructView-23         	182076837	         1.298 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	262552926	         0.9147 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	314216278	         1.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	243801588	         0.9450 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	188322379	         1.175 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	247968163	         0.9500 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	195694354	         1.257 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	259868283	         1.095 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/IfaceView-23          	299510991	         1.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	191430452	         1.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	249261556	         0.9532 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	258955344	         1.133 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	212778752	         1.128 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	203912926	         1.086 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	218003656	         1.101 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	218603850	         1.098 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/point-read/PtrView-23            	254175938	         0.9771 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/iterate/StructView-23            	  562490	       418.1 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/StructView-23            	  567511	       424.1 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/StructView-23            	  541939	       418.1 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/StructView-23            	  563678	       418.1 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/StructView-23            	  565624	       422.7 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/StructView-23            	  602281	       420.5 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/StructView-23            	  566950	       427.1 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/StructView-23            	  566428	       424.4 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/IfaceView-23             	  561996	       422.7 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/IfaceView-23             	  545616	       423.3 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/IfaceView-23             	  611610	       421.6 ns/op	      72 B/op	       3 allocs/op
BenchmarkAll/iterate/IfaceView-23             	  578341	       424.3 ns/op	      72 B/op	       3 allocs/op
