# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:33:17Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sizedcollect
cpu: QEMU Virtual CPU version 2.5+
BenchmarkCollect/unknown/16-23         	 1449348	        82.69 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1459904	        82.20 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1469112	        82.01 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1451139	        82.33 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1427950	        83.36 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1484498	        81.56 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1459858	        82.28 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1460469	        81.97 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1462582	        82.09 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/unknown/16-23         	 1420284	        83.93 ns/op	     248 B/op	       5 allocs/op
BenchmarkCollect/known/16-23           	 4988314	        24.25 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 4983980	        24.00 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 5085156	        23.80 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 4851550	        24.18 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 5030468	        24.31 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 4934293	        23.85 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 5201372	        23.75 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 5237793	        23.68 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 4977091	        23.74 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/known/16-23           	 4866226	        23.86 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5061054	        23.58 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5143242	        23.41 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5397775	        23.10 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5471494	        22.77 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5178099	        23.09 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 4846144	        24.07 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 4925176	        23.64 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5057305	        23.84 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5048197	        24.13 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/clone/16-23           	 5191926	        23.55 ns/op	     128 B/op	       1 allocs/op
BenchmarkCollect/unknown/256-23        	  177097	       704.1 ns/op	    4088 B/op	       9 allocs/op
BenchmarkCollect/unknown/256-23        	  162078	       713.1 ns/op	    4088 B/op	       9 allocs/op
BenchmarkCollect/unknown/256-23        	  176296	       725.3 ns/op	    4088 B/op	       9 allocs/op
BenchmarkCollect/unknown/256-23        	  174903	       715.9 ns/op	    4088 B/op	       9 allocs/op
BenchmarkCollect/unknown/256-23        	  155280	       710.4 ns/op	    4088 B/op	       9 allocs/op
