# generated by run.sh -- do not hand-edit
# date: 2026-09-08T15:58:38Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sliceadapter
cpu: QEMU Virtual CPU version 2.5+
BenchmarkNoOp-23                     	1000000000	         0.2304 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2315 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2311 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2305 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2306 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2310 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2246 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2235 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2305 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                     	1000000000	         0.2309 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	  103520	      2385 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	  101122	      2392 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	   95714	      2359 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	  101143	      2359 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	   95905	      2392 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	  106917	      2357 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	   98869	      2384 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	   99537	      2396 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	  102633	      2401 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromSliceAdapter-23         	  101374	      2371 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   60158	      4032 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   58988	      4166 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   59247	      4141 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   55390	      4098 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   59566	      4101 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   58476	      4131 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   59244	      3931 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   58470	      4113 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   57676	      4123 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/FromValuesSeq-23            	   57105	      4179 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  236514	      1086 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  183429	      1126 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  204057	      1148 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  229297	      1125 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  223922	      1050 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  206124	      1147 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  207716	      1120 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  206571	      1116 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  240700	      1151 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendAll/RawPresizedAppend-23        	  215086	      1154 ns/op	    8192 B/op	       1 allocs/op
