# generated by run.sh -- do not hand-edit
# date: 2026-09-06T02:55:40Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildRandom/slice/8-23         	 1874260	       128.7 ns/op	        16.08 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1865517	       129.3 ns/op	        16.16 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1856481	       129.1 ns/op	        16.14 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1893531	       128.0 ns/op	        16.00 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1850118	       129.8 ns/op	        16.22 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1878805	       128.5 ns/op	        16.07 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1832826	       129.7 ns/op	        16.21 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1886929	       128.0 ns/op	        16.00 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1850432	       129.8 ns/op	        16.22 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/8-23         	 1857769	       127.5 ns/op	        15.93 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildRandom/btree/8-23         	  921140	       268.7 ns/op	        33.59 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  927825	       270.7 ns/op	        33.84 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  907983	       271.0 ns/op	        33.88 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  743293	       271.2 ns/op	        33.90 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  910222	       271.3 ns/op	        33.92 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  951625	       273.4 ns/op	        34.18 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  866389	       274.6 ns/op	        34.32 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  775792	       269.5 ns/op	        33.69 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  823737	       276.6 ns/op	        34.57 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/btree/8-23         	  942649	       271.4 ns/op	        33.92 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildRandom/slice/64-23        	   79222	      3085 ns/op	        48.21 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   79159	      3081 ns/op	        48.13 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   77260	      3101 ns/op	        48.46 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   76628	      3122 ns/op	        48.78 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   77112	      3135 ns/op	        48.99 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   77408	      3070 ns/op	        47.98 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   75519	      3100 ns/op	        48.43 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   78700	      3086 ns/op	        48.22 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   77077	      3098 ns/op	        48.41 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/64-23        	   80440	      3078 ns/op	        48.10 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildRandom/btree/64-23        	   58794	      3963 ns/op	        61.92 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildRandom/btree/64-23        	   59817	      4011 ns/op	        62.67 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildRandom/btree/64-23        	   61203	      4010 ns/op	        62.66 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildRandom/btree/64-23        	   57972	      4074 ns/op	        63.66 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildRandom/btree/64-23        	   59016	      4034 ns/op	        63.04 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildRandom/btree/64-23        	   59289	      4021 ns/op	        62.83 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildRandom/btree/64-23        	   60154	      4056 ns/op	        63.38 ns/insert	    6304 B/op	      18 allocs/op
