# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedsetbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuild/bare/64-23         	  109489	      1019 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  120802	      1023 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  115636	      1042 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  113112	      1023 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  119650	      1010 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  119962	      1019 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  114423	      1043 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  120220	      1032 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  114950	      1033 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/64-23         	  115891	      1022 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   52724	      2313 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   52328	      2306 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   50986	      2304 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   50551	      2323 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   52058	      2347 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   51637	      2345 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   50566	      2317 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   51577	      2307 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   51447	      2332 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vlast/64-23        	   51518	      2308 ns/op	    1024 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   90156	      1320 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   90356	      1334 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   85660	      1334 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   90252	      1338 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   92610	      1330 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   90404	      1333 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   90204	      1336 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   90057	      1327 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   90886	      1331 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/vfirst/64-23       	   92073	      1328 ns/op	     512 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1292	     92261 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1255	     91851 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1284	     92198 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1336	     91120 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1258	     91543 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1310	     90571 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1278	     91626 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1304	     90858 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1263	     90996 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/bare/1024-23       	    1292	     91008 ns/op	    8192 B/op	       1 allocs/op
BenchmarkBuild/vlast/1024-23      	     780	    151378 ns/op	   16384 B/op	       1 allocs/op
BenchmarkBuild/vlast/1024-23      	     784	    153839 ns/op	   16384 B/op	       1 allocs/op
BenchmarkBuild/vlast/1024-23      	     763	    154296 ns/op	   16384 B/op	       1 allocs/op
BenchmarkBuild/vlast/1024-23      	     783	    155542 ns/op	   16384 B/op	       1 allocs/op
BenchmarkBuild/vlast/1024-23      	     781	    150903 ns/op	   16384 B/op	       1 allocs/op
BenchmarkBuild/vlast/1024-23      	     792	    153762 ns/op	   16384 B/op	       1 allocs/op
BenchmarkBuild/vlast/1024-23      	     787	    153876 ns/op	   16384 B/op	       1 allocs/op
