# generated by run.sh -- do not hand-edit
# date: 2026-09-08T14:29:30Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/vectorcost
cpu: QEMU Virtual CPU version 2.5+
BenchmarkNoOp-23              	1000000000	         0.2300 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	1000000000	         0.2246 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	1000000000	         0.2376 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	1000000000	         0.2233 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	1000000000	         0.2241 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	861858794	         0.2354 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	987225019	         0.2397 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	805609458	         0.2764 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	1000000000	         0.2306 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23              	665538726	         0.3580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1000000	       203.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1224763	       196.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1226011	       195.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1216681	       197.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1204425	       200.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1225018	       195.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1215102	       197.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1226644	       195.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1226146	       195.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Range-23   	 1000000	       204.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1000000	       205.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1219478	       196.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1000000	       207.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1000000	       202.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1223949	       196.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1227090	       195.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1000000	       202.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1000000	       202.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1000000	       203.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/Index-23   	 1000000	       202.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  903181	       250.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  947676	       246.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  972385	       246.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  927679	       247.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  863473	       249.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  962110	       239.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  941019	       247.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  975001	       239.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	 1000000	       239.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/Index-23  	  938631	       247.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  206196	      1161 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  206502	      1160 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  208020	      1132 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  212438	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  210694	      1136 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  212677	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  212520	      1140 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  212020	      1143 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  207334	      1138 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Slice/ValuesSeq-23         	  213363	      1133 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  196198	      1220 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  196962	      1214 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  197676	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  200697	      1181 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  195472	      1220 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  195652	      1218 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  202486	      1186 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  197360	      1217 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  202738	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllSeq-23           	  202663	      1191 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  201667	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  197097	      1215 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  204594	      1180 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  193312	      1209 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  202742	      1189 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  185834	      1189 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  192306	      1221 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  198688	      1187 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  202826	      1183 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Vector/AllIndexedSeq-23    	  200073	      1187 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	637392638	         0.3637 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	641043516	         0.3765 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	629896906	         0.3749 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	633227388	         0.3751 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	665444060	         0.3622 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	661209538	         0.3622 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	656658246	         0.3630 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	639750087	         0.3747 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	658049218	         0.3617 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Slice-23                    	641529182	         0.3694 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	702779683	         0.3416 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	680169890	         0.3521 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	701336085	         0.3416 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	684171283	         0.3511 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	708374413	         0.3423 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	708728397	         0.3425 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	693776964	         0.3421 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	700492372	         0.3413 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	705981106	         0.3418 ns/op	       0 B/op	       0 allocs/op
BenchmarkAt/Vector-23                   	678447338	         0.3519 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	422448526	         0.5658 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	417100885	         0.5780 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	419795887	         0.5758 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	407954125	         0.5805 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	432245118	         0.5597 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	427314072	         0.5671 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	421293966	         0.5683 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	416323279	         0.5762 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	419498221	         0.5685 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Growing-23        	428243455	         0.5600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	254001964	         0.9441 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	253001010	         0.9459 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	254111846	         0.9451 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	259534471	         0.9222 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	254058295	         0.9450 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	256184280	         0.9299 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	257835920	         0.9270 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	259209566	         0.9240 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	260143173	         0.9217 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Growing-23       	252742108	         0.9466 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	513719037	         0.4777 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	503827926	         0.4861 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	419223368	         0.5731 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	429717115	         0.5703 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	539790583	         0.4696 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	497170674	         0.5486 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	431461441	         0.5574 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	486860476	         0.5165 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	425756991	         0.5596 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Slice/Presized-23       	429659772	         0.5586 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	271597627	         0.8809 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	272623275	         0.8808 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	273220506	         0.8793 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	279245697	         0.8576 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	272153816	         0.8795 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	268933675	         0.8895 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	273277792	         0.8807 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	280256702	         0.8576 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	273248272	         0.8769 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/Vector/Presized-23      	278009648	         0.8632 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportAliasing-23              	1000000000	         0.2245 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	1000000000	         0.2301 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	1000000000	         0.2302 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	1000000000	         0.2306 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	1000000000	         0.2234 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	1000000000	         0.2248 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	663013791	         0.3598 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	666736654	         0.3599 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	885261806	         0.2344 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
    bench_test.go:179: vector: callee appended, caller sees Len=2
    bench_test.go:187: vector: after 8 reallocating appends, an aliasing holder sees Len=8
BenchmarkReportAliasing-23              	1000000000	         0.2320 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportAliasing-23
    bench_test.go:168: slice: two appends off one header -> x[1]=2 y[1]=2  aliased=true
    bench_test.go:174: slice: callee appended, caller sees Len=0  (the append is lost)
