# generated by run.sh -- do not hand-edit
# date: 2026-09-08T03:08:01Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/viewiface
cpu: QEMU Virtual CPU version 2.5+
BenchmarkNoOp-23             	1000000000	         0.2310 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	1000000000	         0.2301 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	903051002	         0.2300 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	1000000000	         0.2311 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	951543367	         0.2282 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	1000000000	         0.2242 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	952294603	         0.2325 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	936593077	         0.2280 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	1000000000	         0.2265 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23             	1000000000	         0.2261 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	579387129	         0.4059 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	609116895	         0.3946 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	609812647	         0.3969 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	611669210	         0.4010 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	599502502	         0.3944 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	593140448	         0.3941 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	613309474	         0.3906 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	565064637	         0.4029 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	626327078	         0.3854 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Field-23  	571293283	         0.3976 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstruct/Iface-23  	17698306	        13.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkConstruct/Iface-23  	17858352	        13.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkConstruct/Iface-23  	19221394	        13.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkConstruct/Iface-23  	18256354	        13.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkConstruct/Iface-23  	17364326	        13.19 ns/op	      24 B/op	       1 allocs/op
BenchmarkConstruct/Iface-23  	17753462	        13.42 ns/op	      24 B/op	       1 allocs/op
BenchmarkConstruct/Iface-23  	17979508	        13.01 ns/op	      24 B/op	       1 allocs/op
