# generated by run.sh -- do not hand-edit
# date: 2026-09-07T05:07:57Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/viewkeys
cpu: QEMU Virtual CPU version 2.5+
BenchmarkGet/direct-23 	29793574	         4.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23 	29016513	         4.063 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23 	27813613	         4.102 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23 	29897622	         4.094 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23 	29922932	         4.036 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23 	29708955	         4.045 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23 	29623564	         4.055 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23 	29326479	         4.207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	20536364	         5.653 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	21905580	         5.491 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	21554847	         5.812 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	22587201	         5.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	22001510	         5.601 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	22075683	         5.666 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	21561442	         5.610 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/value-only-23         	21614436	         5.594 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17257882	         6.890 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17041846	         6.945 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17057553	         6.951 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17469222	         6.775 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17459898	         6.769 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17810265	         6.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17157734	         6.916 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/keyed-23              	17235732	         6.764 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17625	      6818 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17787	      6744 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17547	      6824 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17797	      6747 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17722	      6771 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17516	      6877 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17600	      6815 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/value-only-23     	   17613	      6814 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   16064	      7471 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   16305	      7355 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   15711	      7575 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   16035	      7485 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   16485	      7277 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   15969	      7463 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   15877	      7544 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/keyed-23          	   15904	      7537 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	323803141	         0.3669 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	319091193	         0.3758 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	316413940	         0.3764 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	326553217	         0.3665 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	323942124	         0.3684 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	318029733	         0.3753 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	319493623	         0.3749 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                   	318273716	         0.3759 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/viewkeys	5.771s
