# generated by run.sh -- do not hand-edit
# date: 2026-09-07T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/views
cpu: QEMU Virtual CPU version 2.5+
BenchmarkGet/direct-23         	25710200	         4.357 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23         	27556179	         4.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23         	27597264	         4.364 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23         	25494794	         4.520 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23         	24703012	         4.557 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23         	27530272	         4.432 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23         	27065442	         4.432 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23         	26795331	         4.453 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	25591269	         4.388 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	26579655	         4.376 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	27171045	         4.411 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	27821492	         4.282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	26554611	         4.522 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	25873371	         4.469 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	26174173	         4.342 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/shallow-23        	27608654	         4.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	24897214	         4.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	24977743	         4.913 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	25457728	         4.761 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	23741563	         4.791 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	25522884	         4.881 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	24655317	         4.871 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	24462956	         4.907 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/per-contract-23   	25936176	         4.723 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	20515296	         5.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	21042777	         5.702 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	18715020	         6.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	19354950	         6.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	18655202	         6.392 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	20778234	         5.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	19513530	         5.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-field-23         	20271584	         5.823 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	21261715	         5.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	20227249	         5.987 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	20773622	         5.592 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	20548767	         6.013 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	20632591	         5.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	19607058	         6.035 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	20465134	         5.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/projecting-witness-23       	20993840	         5.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	21040563	         5.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	18915674	         5.792 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	21097713	         5.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	20485684	         5.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	21150915	         5.711 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	20152141	         5.813 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	20794790	         5.698 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/witness-identity-23         	21116462	         5.664 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	286689418	         0.3959 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	316151974	         0.3791 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	315206971	         0.3799 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	315544377	         0.3785 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	316620159	         0.3780 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	317621413	         0.3759 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	316817721	         0.3781 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/shallow-23                  	317163860	         0.3770 ns/op	       0 B/op	       0 allocs/op
BenchmarkBox/per-contract-23             	 9755000	        12.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/per-contract-23             	 9897838	        12.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/per-contract-23             	10122412	        11.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/per-contract-23             	 9562018	        12.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/per-contract-23             	10353356	        12.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/per-contract-23             	 9613779	        12.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkBox/per-contract-23             	 9848664	        12.28 ns/op	      16 B/op	       1 allocs/op
