# generated by run.sh -- do not hand-edit
# date: 2026-09-24T21:35:05Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/witness
cpu: QEMU Virtual CPU version 2.5+
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3167713	        75.07 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3186512	        75.14 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3189399	        74.12 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3169555	        74.85 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3140053	        75.89 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3168694	        75.69 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3147430	        75.86 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(per-call)-23         	 3187862	        75.81 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 4003346	        59.99 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 4078869	        59.70 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 4048150	        59.92 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 4032129	        59.05 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 4009351	        59.85 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 4006040	        60.03 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 4080489	        59.95 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/range-Keys(hoisted)-23          	 3969997	        59.83 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	24678330	         9.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	23831408	        10.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	25321407	         9.647 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	24941728	         9.912 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	24144951	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	24317604	         9.463 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	24690108	         9.715 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/KeySlice(per-call)-23           	23900101	         9.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	64368806	         3.832 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	63690226	         3.834 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	58703919	         3.836 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	58426159	         3.949 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	61579308	         3.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	62666850	         3.837 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	64238298	         3.833 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=0/Each(non-capturing)-23          	62804535	         3.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1878438	       127.4 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1883758	       127.6 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1860776	       127.6 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1898152	       125.9 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1912033	       126.8 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1875348	       127.6 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1857639	       127.7 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(per-call)-23         	 1868446	       127.3 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2176944	       111.0 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2131804	       112.4 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2145142	       112.8 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2163805	       111.3 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2124597	       112.3 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2113050	       113.3 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2159709	       111.4 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/range-Keys(hoisted)-23          	 2176623	       111.0 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3461908	        69.43 ns/op	     128 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=8/KeySlice(per-call)-23           	 3457513	        69.66 ns/op	     128 B/op	       1 allocs/op
